geo,year,residuos_kg_hab,reciclaje_pct
ES,1995,505.0,
ES,1996,530.0,
ES,1997,554.0,37.5
ES,1998,557.0,37.3
ES,1999,606.0,41.9
ES,2000,653.0,44.2
ES,2001,652.0,49.7
ES,2002,637.0,49.8
ES,2003,646.0,48.3
ES,2004,600.0,53.0
ES,2005,588.0,56.1
ES,2006,590.0,60.7
ES,2007,578.0,62.1
ES,2008,551.0,65.4
ES,2009,542.0,67.8
ES,2010,510.0,70.0
ES,2011,485.0,72.1
ES,2012,468.0,72.5
ES,2013,455.0,73.1
ES,2014,448.0,75.0
ES,2015,456.0,73.4
ES,2016,464.0,76.8
ES,2017,473.0,74.2
ES,2018,475.0,74.5
ES,2019,472.0,75.5
ES,2020,463.0,70.2
ES,2021,482.0,74.0
ES,2022,482.0,72.0
ES,2023,465.0,
EU27_2020,1995,467.0,
EU27_2020,1996,478.0,
EU27_2020,1997,491.0,
EU27_2020,1998,487.0,
EU27_2020,1999,500.0,
EU27_2020,2000,513.0,
EU27_2020,2001,509.0,
EU27_2020,2002,515.0,
EU27_2020,2003,502.0,
EU27_2020,2004,500.0,
EU27_2020,2005,506.0,67.7
EU27_2020,2006,513.0,69.9
EU27_2020,2007,517.0,73.8
EU27_2020,2008,517.0,73.8
EU27_2020,2009,509.0,75.8
EU27_2020,2010,503.0,77.9
EU27_2020,2011,499.0,79.1
EU27_2020,2012,487.0,80.2
EU27_2020,2013,479.0,80.1
EU27_2020,2014,479.0,81.0
EU27_2020,2015,481.0,81.2
EU27_2020,2016,494.0,81.7
EU27_2020,2017,500.0,81.6
EU27_2020,2018,500.0,80.4
EU27_2020,2019,505.0,81.0
EU27_2020,2020,521.0,80.0
EU27_2020,2021,534.0,79.6
EU27_2020,2022,515.0,80.0
EU27_2020,2023,511.0,81.9
